size,try_no,vector*vector,vector*matrix
4801,1,0.000022,0.162820
4801,2,0.000053,0.166761
4801,3,0.000048,0.166472
4801,4,0.000020,0.172804
4801,5,0.000023,0.164223
4801,6,0.000021,0.166116
4801,7,0.000022,0.162476
4801,8,0.000022,0.159435
4801,9,0.000021,0.162400
4901,0,0.000042,0.176798
4901,1,0.000022,0.176035
4901,2,0.000022,0.173351
4901,3,0.000022,0.175867
4901,4,0.000035,0.172470
4901,5,0.000024,0.172501
4901,6,0.000023,0.182071
4901,7,0.000023,0.173670
4901,8,0.000020,0.175838
4901,9,0.000023,0.173122
5001,0,0.000053,0.180936
5001,1,0.000024,0.187223
5001,2,0.000023,0.177482
5001,3,0.000021,0.181656
5001,4,0.000023,0.173872
5001,5,0.000036,0.182942
5001,6,0.000022,0.178818
5001,7,0.000023,0.181797
5001,8,0.000023,0.183556
5001,9,0.000024,0.183103
5101,0,0.000038,0.200149
5101,1,0.000023,0.187170
5101,2,0.000023,0.187463
5101,3,0.000022,0.186638
5101,4,0.000036,0.184844
5101,5,0.000023,0.186066
5101,6,0.000024,0.188280
5101,7,0.000023,0.188846
5101,8,0.000037,0.187707
5101,9,0.000023,0.187348
5201,0,0.000023,0.198863
5201,1,0.000066,0.193838
5201,2,0.000022,0.197734
5201,3,0.000024,0.196307
5201,4,0.000032,0.193937
5201,5,0.000024,0.192961
5201,6,0.000024,0.196108
5201,7,0.000024,0.195362
5201,8,0.000024,0.242108
5201,9,0.000023,0.231021
5301,0,0.000024,0.213072
5301,1,0.000030,0.199549
5301,2,0.000028,0.206822
5301,3,0.000024,0.196309
5301,4,0.000024,0.203751
5301,5,0.000025,0.195983
5301,6,0.000025,0.201525
5301,7,0.000027,0.200430
5301,8,0.000022,0.199230
5301,9,0.000023,0.199074
5401,0,0.000024,0.211659
5401,1,0.000038,0.235137
5401,2,0.000029,0.267960
5401,3,0.000145,0.227442
5401,4,0.000025,0.219080
5401,5,0.000037,0.209055
5401,6,0.000025,0.205578
5401,7,0.000023,0.211753
5401,8,0.000075,0.212066
5401,9,0.000025,0.217093
5501,0,0.000025,0.254993
5501,1,0.000049,0.267341
5501,2,0.000025,0.253533
5501,3,0.000025,0.236976
5501,4,0.000041,0.221138
5501,5,0.000025,0.218287
5501,6,0.000074,0.223735
5501,7,0.000024,0.221002
5501,8,0.000028,0.220151
5501,9,0.000025,0.219087
5601,0,0.000026,0.224213
5601,1,0.000027,0.222829
5601,2,0.000025,0.230077
5601,3,0.000037,0.225469
5601,4,0.000025,0.225028
5601,5,0.000026,0.238061
5601,6,0.000025,0.229827
5601,7,0.000037,0.226861
5601,8,0.000025,0.223303
5601,9,0.000025,0.222003
5701,0,0.000026,0.235900
5701,1,0.000025,0.234801
5701,2,0.000025,0.230472
5701,3,0.000026,0.232085
5701,4,0.000026,0.233655
5701,5,0.000026,0.235494
5701,6,0.000038,0.237194
5701,7,0.000025,0.231908
5701,8,0.000026,0.231711
5701,9,0.000025,0.236607
5801,0,0.000026,0.242669
5801,1,0.000039,0.243684
5801,2,0.000025,0.238289
5801,3,0.000026,0.242536
5801,4,0.000026,0.240913
5801,5,0.000027,0.239930
5801,6,0.000026,0.238258
5801,7,0.000026,0.240923
5801,8,0.000026,0.239007
5801,9,0.000026,0.246732
5901,0,0.000027,0.258571
5901,1,0.000027,0.248883
5901,2,0.000026,0.248193
5901,3,0.000027,0.254722
5901,4,0.000026,0.245517
5901,5,0.000026,0.254818
5901,6,0.000028,0.245431
5901,7,0.000026,0.255766
5901,8,0.000033,0.247944
5901,9,0.000025,0.258773
6001,0,0.000026,0.254074
6001,1,0.000044,0.254185
6001,2,0.000027,0.263113
6001,3,0.000027,0.252812
6001,4,0.000092,0.254857
6001,5,0.000027,0.256191
6001,6,0.000026,0.254182
6001,7,0.000054,0.254692
6001,8,0.000027,0.254375
6001,9,0.000028,0.263965
6101,0,0.000027,0.264489
6101,1,0.000028,0.270169
6101,2,0.000027,0.251490
6101,3,0.000028,0.257619
6101,4,0.000028,0.263412
6101,5,0.000028,0.271198
6101,6,0.000027,0.275648
6101,7,0.000026,0.268286
6101,8,0.000027,0.269027
6101,9,0.000028,0.271544
6201,0,0.000029,0.275155
6201,1,0.000027,0.275941
6201,2,0.000027,0.276141
6201,3,0.000042,0.278506
6201,4,0.000068,0.289312
6201,5,0.000028,0.275509
6201,6,0.000027,0.275655
6201,7,0.000028,0.284647
6201,8,0.000028,0.276634
6201,9,0.000056,0.277820
6301,0,0.000028,0.285147
6301,1,0.000029,0.287717
6301,2,0.000098,0.296996
6301,3,0.000041,0.291239
6301,4,0.000029,0.283713
6301,5,0.000029,0.286615
6301,6,0.000029,0.285847
6301,7,0.000029,0.286394
6301,8,0.000029,0.287605
6301,9,0.000028,0.293622
6401,0,0.000040,0.297716
6401,1,0.000028,0.296885
6401,2,0.000028,0.295136
6401,3,0.000029,0.292539
6401,4,0.000028,0.293925
6401,5,0.000031,0.296630
6401,6,0.000028,0.295849
6401,7,0.000079,0.321818
6401,8,0.000043,0.302179
6401,9,0.000027,0.301109
6501,0,0.000029,0.306648
6501,1,0.000059,0.307330
6501,2,0.000029,0.301317
6501,3,0.000029,0.312754
6501,4,0.000029,0.305526
6501,5,0.000029,0.305722
6501,6,0.000080,0.303781
6501,7,0.000029,0.306002
6501,8,0.000030,0.306842
6501,9,0.000155,0.311895
6601,0,0.000059,0.312878
6601,1,0.000030,0.308953
6601,2,0.000028,0.304230
6601,3,0.000028,0.313166
6601,4,0.000029,0.315956
